 price_k bedrooms bathrooms sqftLiving
2000.00,3,2.75,3050 
 937.00,3,1.75,2450 
 920.00,5,2.25,2730 
 650.00,3,2.25,2150 
 335.00,2,1.75,1030 
 660.50,4,2.25,2010 
 675.00,4,3.50,2140 
 890.00,4,1.00,2550 
 673.00,4,2.25,2590 
 269.00,4,1.75,1490 
 297.00,3,2.50,1940 
 235.00,3,1.00,1430 
 455.00,4,2.50,3360 
 415.00,2,1.00,1070 
1370.00,4,4.75,5310 
 520.00,3,2.25,2030 
 450.00,3,1.75,1640 
 563.50,4,1.75,2085 
 235.00,4,1.50,1690 
 662.00,3,1.75,2500 
 249.00,3,2.00,1360 
 318.89,4,1.75,2320 
 404.95,4,2.25,2340 
 266.00,3,2.50,1805 
 577.00,3,2.50,2060 
 378.00,2,2.00,1300 
 305.00,4,2.50,2250 
 425.00,4,1.00,1260 
 385.00,3,1.75,1800 
 550.00,4,1.75,2480 
 315.00,3,2.25,1540 
 560.00,3,2.25,2060 
 429.90,4,2.50,2640 
 465.25,5,2.00,1940 
 249.90,3,1.75,1380 
 285.00,4,1.75,2510 
 287.65,3,1.00,1050 
 280.00,4,2.50,2050 
 275.00,3,2.25,1420 
 414.90,3,1.50,1260 
 480.00,3,2.50,1940 
 582.80,4,2.75,2550 
 645.00,4,2.00,2780 
 164.81,3,1.00,1250 
 448.00,3,2.25,1530 
 305.00,4,2.50,2230 
 343.00,2,1.00,1230 
 475.00,4,3.50,3660 
 360.00,3,2.75,2030 
 267.50,3,1.50,1600 
 430.00,4,3.75,2452 
 700.00,3,2.25,2330 
1130.00,3,2.25,2790 
 439.00,2,1.00,1050 
 241.00,3,2.00,1650 
 715.00,3,2.00,1760 
 302.00,2,1.00,1010 
 352.50,3,1.75,1860 
 423.00,4,2.50,2660 
 420.00,4,2.50,2110 
 350.00,3,1.75,1830 
 495.00,4,2.25,2220 
 525.00,4,2.50,2400 
 349.50,3,2.00,1270 
 245.00,2,1.00,710 
 177.50,3,1.50,1220 
 238.00,3,2.50,1650 
 340.00,3,1.75,2190 
 415.00,1,2.00,3000 
 293.00,3,1.00,1020 
 749.00,4,2.50,2930 
 442.50,6,2.50,2800 
 469.00,3,1.00,950 
 785.00,3,2.50,2930 
 550.00,4,3.50,3540 
 285.00,4,2.25,2150 
 212.00,4,2.00,1880 
 465.00,4,2.50,2200 
 477.00,3,2.25,1260 
 740.00,2,2.50,2170 
 365.00,2,1.00,990 
 425.00,3,2.50,1630 
 850.00,5,2.75,2920 
 740.00,5,5.00,5774 
